date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202023%2017:42:28%20GMT	https://heyleia.com/robots.txt		(from )
23:12:31	46368/46368	---MC-	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202023%2017:42:28%20GMT	https://heyleia.com/	D:/My%20Web%20Sites/website-builder1/heyleia.com/index.html	(from )
23:12:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Apr%202023%2017:42:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/My%20Web%20Sites/website-builder1/www.googletagmanager.com/gtm.05445.delayed	(from https://heyleia.com/)
23:12:32	3351/3351	---M--	200	added ('OK')	image/png	etag:%22d17-59947dc1dae56%22	https://heyleia.com/images/favicon.png	D:/My%20Web%20Sites/website-builder1/heyleia.com/images/favicon.png	(from https://heyleia.com/)
23:12:32	17820/17820	---M--	200	added ('OK')	text/css	etag:%22459c-5dc24c0bd19fc%22	https://heyleia.com/css/stylesheet.css?v=2.2	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/stylesheet6da2.css	(from https://heyleia.com/)
23:12:32	13050/13050	---M--	200	added ('OK')	text/css	etag:%2232fa-59947db747d28%22	https://heyleia.com/css/sweetalert.css	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/sweetalert.css	(from https://heyleia.com/)
23:12:33	6118/6118	---M--	200	added ('OK')	text/css	etag:%2217e6-59947db814e75%22	https://heyleia.com/css/smart-app-banner.css	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/smart-app-banner.css	(from https://heyleia.com/)
23:12:33	141622/141622	---M--	200	added ('OK')	text/css	etag:%2222936-59947db507a43%22	https://heyleia.com/css/bootstrap.css	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/bootstrap.css	(from https://heyleia.com/)
23:12:33	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	D:/My%20Web%20Sites/website-builder1/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://heyleia.com/)
23:12:34	13027/13027	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2026%20Apr%202023%2017:42:32%20GMT	https://rawgit.com/mattdiamond/Recorderjs/master/dist/recorder.js	D:/My%20Web%20Sites/website-builder1/rawgit.com/mattdiamond/Recorderjs/master/dist/recorder.js	(from https://heyleia.com/)
